ID,commentText
15001,nourish?
15002,Yass! My morning is already headed in the right direction
15003,"Rhett, I believe the word you are looking for is satiated.
Liquids hydrate, solids satiate!"
15004,Hahaha the spider milk my God xD
15005,This came out at 3am were  I live
15006,Isnt this basically tea?
15007,I'm sad Link didn't mention the GOAT milk: Oat Milk.
15008,You guys at the beginning of the video remind me of the radio show hosts in Groundhog Day
15009,"Squeezing a nutsack is not easy? Oh wait auto corrct, lets see what it does!
Nutcracker WHAT THE FU...."
15010,The Twinkie milk looks like pure fat and oil I thought they would think its gross at least I thought link would lol
15011,finally youre back
15012,Anyone can be an astronaut  link is so pure hahah.
15013,the year of the twink...
15014,2019 the year of vomit
15015,Am I the only who loves the intro but is going take a while to get used to the sound?
15016,U should do will it French fries
15017,"I like the whole ""dink it and drink it"""
15018,I feel like I never like the intro to any of the seasons but towards the end they make sense lol
15019,New intro?! CHANGE?! I dont like change!
15020,I prefer the old intro music
15021,Does the GMM crew know it's the year of the pig? Think of the possibilities...
15022,U should do will it Cheetos
15023,Y'all should of milked a cookie
15024,"Milk it
Dink it
Drink it"
15025,Year of the twink Im so excited
15026,"Huh, i'm actually curious about the wood one. I wonder if it's bad for you, or just inert."
15027,I see 2019 is going to be a lot more adult.
15028,Am I the only one shook by their new intro?
15029,I'm so happy never stop
15030,Yay
15031,this new intro hmmmmm im not used to it yet
15032,"Spider Milk, pairs great with Bile Pie!"
15033,"Ooooooooh new theme tune!!! 
I love it. "
15034,Link: Get in line boys....and girls....anybody can be an astronaut. *face of immediate regret*
15035,i like the new intro
15036,Looks like cider tastes like cedar
15037,I liked the old intro
15038,What happened with them? These guys comeback in 2 weeks.
15039,i really like the new intro! has a whole different vibe and theres just something special about it!
15040,Thumbs down this intro
15041,Spider milk! Well...Im done with breakfast.
15042,Oh god. It was going so well until they drank spider guts.
15043,I don't like new start animation
15044,"COLUMBUS! Dudes, we have a couple of great BBQ places here if you're interested."
15045,OH and I live in Maryland so
15046,I would assum yall dont know what 'twink' means
15047,First episode of 2019 and it's already full of best of material xD
15048,"Sorry, cant come to the show in april, gotts catch dem fiish"
15049,Im sad about the new intro...
15050,I've never been so excited for a notification. I'm so glad yall are back in my morning routine
15051,Yehey! Gmm is back!
15052,"Instead of eatdrated, how about thighdrated?"
15053,"I've seen wood milked many of time!!!! My own wood, milked by my girlfriend!......................."
15054,My favorite intro so far
15055,"oooooo it done be my BOYS YALL 
also I like this intro"
15056,"Amazing spider milk..... why, just...why!!!"
15057,great to have you guys back buuuut.... damn that new intro is terrible..... like really god awful....
15058,the-the intro- what-I
15059,pink finger balloon
15060,Season 2 probably had the best intro
15061,Poor Rhett never had his wood milked
15062,"Welcome back y'all! 
Hate the new intro, but happy you're back!"
15063,insert Jim Carrey dry heaving gif
15064,So how to you get regular white milk?
15065,ooooOOOOO THE INTRO
15066,Great start to the year boys! Nothing says GMM like squeezing nutsacks on the first day back at work
15067,I love these videos they are so fun 2019
15068,Burn the new intro. Burn it
15069,You should play a game called miss the cane well here's the pain. Need:stun cane and dice. The player with the cane thinks of 2 numbers and whispers it to the camera  and if the other person rolls the dice and lands on a safe number that person gets a point. If the person lands on a safe number the other person gets a point. Then the player rolls the dice and gets shocked on the body part they land on . 1 head 2 arm 3 chest 4 legs 5 stomach 6 back
15070,You year new intro
15071,That Twinkie milk looks like breast milk and Im gagging just thinking about it.
15072,2019 - the year of the twink! Let's go!
15073,THAT NEW INTRO THANK YOU GODS
15074,Not really feeling the new intro
15075,Wooow that intro !!!
15076,Going to the st.louis show
15077,Old intro please
15078,12:56 new top 5 grossest gmm moments
15079,"Your back, I'm back, we're both back"
15080,The spider tastes like 2018 did.
15081,That intro music breathes hype
15082,Bring back the hover board tshirt!!!!!!
15083,When link sounds like an actual cow. Moo moo bois its a new year
15084,4:15 link when he eats at taco Bell
15085,This new intro is ADORABLE
15086,"ARGH! NEW SEASON! NEW INTRO! NEW MUGS! SO GOOD TO HAVE YOU BACK, GUYS~! :D"
15087,Like the new song and the intro
15088,Come to Detroit
15089,Nourished is the word you were looking for Rhett!
15090,13.10 you can actually see links vomit coming out from his mouth
15091,Not first
15092,"I really hope that wood was untreated and ""raw""...."
15093,"Flash forward to the end of the year and ""Spider Milk"" will be on the last of the nastiest thing they've done of 2019"
15094,Nashville is sold out :( love ya'lls show!
15095,Welcome back guys :D
15096,New intro...umm...yay
15097,Spider tea... Ooh... Undertale?
15098,F*** that spider milk disgusting!!!!
15099,"Thank you for still existing in 2019, GMM."
15100,2019.. Here we go.
15101,pink finger balloon would be a great name for a band.
15102,I wonder if it will yogurt. Will it yogurt?
15103,Love the new intro guys!!
15104,"W
WI
WIL
WILL
WILL I
WILL IT
WILL IT G
WILL IT GU
WILL IT GUM
WILL IT GUM?
WILL IT GUM?!
WILL IT GUM?
WILL IT GUM
WILL IT GU
WILL IT G
WILL IT
WILL I
WILL
WIL
WI
W"
15105,"Will it water, will it soda, will it meat, will it video game, will it fried chicken, will it chocolate, I could go on ( I didnt see all of the episodes so it could the same one)"
15106,Make the chickens feel more loved by killing them and their friends.Yup
15107,I have a stomach bug right now so I cant eat dairy.  Thanks for this lol
15108,Love love love the new animated intro!
15109,The Intros keep on getting better and better soon its gonna be legendary
15110,SEASON 15 MOTHERFORKERS!!  LETS GOOOOOO!!!!! Fingers crossed for the next 15!
15111,Why change the theme song again.. why
15112,#thankgoditsmonday #GMM
15113,"as someone from myrtle beach, what rhett said is eerily accurate. the amount of shirts with awful slogans on them is disappointing lmao"
15114,"2019 is the year of the twink, apparently."
15115,new  year new intro lovin it
15116,Oh god.. that's the worst intro so far
15117,Now how did that twink joke just fly by
15118,Do your wives make you take showers and brush your teeth multiple times before seeing her?
15119,If Rhett says that some of these things taste like the exact thing but in liquid form does that mean that milk is what a cow tastes like but in liquid form?
15120,"When you realize Rhett has no idea about the slang meaning of Twink... XD ""Year of the Twink!""  Perfect!"
15121,Will it CROISSANT plsssss!!!!
15122,No.......just no to that new intro. Go back a few years on that
15123,Love the new intro
15124,"Milk deez 15 season 
Edit: CONGRATS ON GETTING ON 15"
15125,Guys it's 2019 everyone knows milk is not healthy do the research
15126,They should have milked a cookie then dipped a cookie in it.
15127,"Ive drunk so much almond milk that when I try drinking regular milk, it just tastes off to me."
15128,COME TO ATLANTA ..... please :)
15129,Love the new intro 10/10
15130,THE NEW THEME SONG IS EVERYTHINGG
15131,Vomiting the first video of 2019
15132,"So glad you two are back. My life has been lacking without new episodes (even though I have been attempting to catch up with years worth of episodes, it's not the same.)"
15133,The new intro was littt
15134,the year of the twink may have a different meaning in practice than you were going for
15135,Happy to see y'all back so soon thank youuuu
15136,For many years I drank a gallon and a half of milk every day. Towards the end of my milk drinking I was drinking milkshakes daily and I went to my local burger joint and got a burger and a shake. I was constipated for a month after that. I'm not making this up. I've got the gut to prove it.
15137,I like that new intro!
15138,"""The year of the twink"" 
I love this show "
15139,I am LOVING the new intro
15140,Will it milk shake
15141,Thank you so much for coming to Ohio for this tour!!!!!! Definitely buying tickets ASAP!!!!!
15142,LOVE the new intro!  HNY!
15143,I love the new intro! You did this one right guys!
15144,New intro!!!
15145,2019! The year of the twink! :)
15146,Squeezing a nutsack is not easy.
15147,"Just shitting, all i can just imagine after this video."
15148,"thats how bacon icecream is made, what did they expect?"
15149,The intro!!!!yessss I love it
15150,"Hmm, I think the music should be louder"
15151,I missssssssssed you guys!!!!
15152,Liking the new intro
15153,Theyre BACK!!!
15154,"That's a funky theme you got there, guys. Reminds me of 2000's future funk from old games and cartoons."
15155,The word is Satiated
15156,Why didnt you guys do Cookie Milk?! Combining both milk and cookies?
15157,"I'll always be a fan of this show until the day I die, but I'm not gonna lie...I'm not into this intro."
15158,"Holy crap, I missed you guys! Welcome back"
15159,nice intro bois
15160,Intro change! :O
15161,"So if we were sampling quotes from this episode, Im going for Year of the twink...get in line boys"
15162,The new opening is DOPE!
15163,You shouldve brought in a
15164,The new intro is horrible
