ID,Comment,Label
0,#Nabisco hahahah.,0
1,This has inspired me to put pudding on pizza,0
2,"F A M I L Y
F R I E N D L Y
S H O W
B T W",0
3,"A family we have thanksgiving with is French and they put so much wine in the gravy, so much",0
4,8:59 demonitized,0
5,Poor Link!,0
6,"E D  W A N T S  T O  K N O W  Y O U R  
L O C A T I O N .",0
7,"link, baby, honey, why are you so ungraceful",0
8,Pepperoni forward is how people describe me when they see me shirtless.,0
9,"Am I the only one that see their own Dad in Rhett.
So many things he says remind me of my Dad.
Is that odd?",0
10,Will it weed,0
11,fifty shades of gravy,0
12,What if you put the pizza gravy on pizza,1
13,This is the first GMM that has made me gag! Congrats fellows!,0
14,I am Korean but I never saw that SHIT on my cuisine,0
15,So you like your children lathered up with something?!,0
16,Am I the only one who would put the pizza gravy on regular pizza? Or start using the pizza gravy as sauce?,0
17,"9:55 Chase in the back, opa.....",0
18,"I see you slyly adding controversial commentary Lincoln! 
""Strong independent women we unfairly call basic"" Rhett grunts in either agreement or somewhat shock",0
19,Can you start showing little clips of how you made everything? Im always so curious to try some of this stuff or make it,0
20,link turns into a velociraptor when he's trying not to vomit,0
21,"A family we have thanksgiving with is French and they put so much wine in the gravy, so much",0
22,Are you gonna gravy that or is it or you gonna eat that and I want garleak,0
23,I couldnt watch the last bit....my gag reflex just went into overdrive as soon as Rhett pulled that nasty out of that plastic container.,0
24,11:00 looked up 11:13 threw up lol tf,0
25,"Running out of Will it Ideas, rub some bacon on it. Lol",0
26,When the crew actually finds a way to literally get Rhett and Link to eat snot. It's literally just mucus.,0
27,Is I just me or did they look bothers with each other,0
28,Next up on will it: Will it make Link gag?,0
29,Dink it sink it,0
30,Not really liking the new GMM there used to be no politics and was kid friendly. What happened?,1
31,The first 2 look good the third makes me squirm,0
32,Dude what if you dunk Oreos in Oreo gravy and sell it like that you could call it gravy covered oreos,1
33,10:18 the face of arousal,0
34,Why is this so entertaining to watch in 1.50 speed,0
35,"Rhett: Ya GOt SeXDuSt oN mY pAnTs
My dad: walks in
im getting the belt...",0
36,"Josh could of been a chef, but he choose to be Rhett and links personal chef",0
37,"14:25  - Yummm... Durian ice cream!!
Tos buat Good Mythical Best Indonesia. ;)",0
38,Rhett and Link need to change the name of this show to 'Juices and Drippings',1
39,You should make a restaurant that sells everything  that does from the will it episodes,1
40,Sprite cranberry will it gravy,0
41,Put unit on pizza :),0
42,"Couldnt watch the hagfish part, youve gone too far.",0
43,Anyone know where rhett got that shirt?,0
44,Who else gagged watching this?,0
45,I was thinking of something completely different at 3:12 ...,0
46,"slow the video to 0.25 speed, start @ 13:10",0
47,I laughed so damn hard when Rhett was talking about how he thought he swallowed it and link is panicking about the taste in mouth,0
48,Note to self: dont eat while watching will it,0
49,Dayum thats rare rhett gagging and link swallowing it,0
50,"How bout a will it season, make seasoning out of various things.",0
51,Who knew link loves his kids by smuthering them in gravy!,0
52,"watched the top 5 grossest moments out, found out about the white flag once per year from it, the hag fish would of been my white flag",0
53,My idea from two years ago :),0
54,Biologists are still studyingit to see it's effects ......and it disintegrated a car.....so we are going to eat it..... welp the show was nice while it was here,0
55,And will it popcorn,0
56,Will it m&m,0
57,That hagfish slime was truly vile. I almost threw up.,0
58,pOuR iT oN mEh BiScUiT,0
59,Hehe. I always get a good laugh out of these two,0
60,Yung Gravy,0
61,Will it cake?,0
62,Isnt this a child friendly channel,0
63,I really wanted to eat my breakfast thank you.,0
64,Link's behaviour in this video proves his status as everyones weird uncle,0
65,Decided to eat while watching this. Instant regret,0
66,i hate gravy like if u agree,0
67,you should do a will it syrup if you have not done it yet,1
68,0:19 the two different ways you look when the teacher calls on you,0
69,Rieeot ynte eh awnoei sorry kaleb love yolt,0
70,Made on my birthday!,0
71,I thought it went in the trash! XD,0
72,I have an uncle named dug and he knows his wine,0
73,I want to try the pizza gravy,0
74,Really happy I DON'T have smell-o-vision,0
75,"Me: gets Oreos and milk
Gmm: oreo gravy
Me: OMG WHY ",0
76,"You both should do a ""make the other person sick by saying and showing gross stuff!""",1
77,Um...ok ik Ive been away from good mythical morning for a while and Im just getting back into it but wth happened to the original intro with the rooster????? Im disturbed,0
78,Should have had YUNG Gravy in this episode,1
79,what is gravy?,0
80,WE ALL HAVE TO FIND DANNY AND TRY HIS WILL IT!!!,0
81,Would love seeing way more of josh! His ideas are awesome and I like his personality + passion for cooking.,1
82,Oreo gravy would be the best ice cream top ever!!!!,1
83,Skip to 13:00,0
84,14:16 when you nut but she keeps sucking,0
85,Will it milk shake,0
86,"""...and see how uncle Doug reacts.""
My uncle's name is Doug",0
87,What about will it eggnog for the holidays like so the guys can see,1
88,"Do Will it Cream Cheese, Will it french fry, will it lemonade, will it salad, will it gift wrapped, and/or will it candy cane",1
89,So when is the restaurants opening?? Some of the stuff on Will It is just amazing sounding,0
90,Will it perfume,0
91,I would give to St.Judes hospital but I dont have any cash,0
92,sounds gross  is...good????,0
93,grevitzza,0
94,Pongan subtitulos en espaol plisss,0
95,,0
96,"I dont know what part of North Carolina Rhett is from, but we call it Stuffing.",0
97,"Why is it when they brought up the hagfish gravy my eyes started burning like I could actually smell it, weird.",0
98,0:57 is Link insinuating that he smothers his children? O.o,0
99,"They should publish a cook book of all the weird mixtures from Will It that did, so we can try if they did.",0
100,Gosh i still don't know how they find all these really gross ideas.,0
101,INDONESIAAAA,0
102,8:37 SLUT GRAVY,0
103,YES IT WILL. YES IT WILL,0
104,13:18,0
105,13:17 Me watching this year's YT Rewind.,0
106,"Am I the only only one that notices something very off between link and Rhett, it's almost like a passive aggressive enmity between them",0
107,i have an uncle doug,0
108,13:16 theres a reason theres a trash can on your lap Rhett,0
109,Will it bread?,0
110,Will it hot chocolate?,0
111,will it candy corn,0
112,weird how i was eating pizza and oreos while I watched this,0
113,I have an uncle Doug,0
114,Will it waffle? Pleaseeeeee,0
115,"For all the successful ""Will It?"" recipes, I think we all agree there should be a cook book. Or as Rhett calls them, a cooking book.",0
116,Hi I like you and your Videos but please chew quieter I and a lot of people can't stand that so pls nor so close to the mic please,0
117,You should do ice cream.,1
118,"will it ice cube 
will it jeleopeno popper 
will it cool whip
will it bubble gum 
will it toothpaste 
lol",0
119,to bad oreos are crap lol,0
120,Will it blanket? I like the sound of that,0
121,40 shades of gravy. I laughed harder at that than I should have. I'm sorry mom.,0
122,i would dump the pizza gravy straight into my mouth.,0
123,I can feel some tension.,0
124,"Dink it, sink it, rethink it.",0
125,Will it pizza roll?,0
126,You should do  will it gingerbread?,1
127,"None of those were really gravy, I mean the Pizza thing was basically just a sauce.  That's how sauces are made with butter, flour, etc.  The Oreo thing wasn't gravy either.  It was again, just a thin chocolate sauce.  The last thing was literally gravy with wine added to it.  Gravy really needs to be based on animal products.",0
128,best part was the undie reveal,0
129,12:53 I genuinely had a gag reflex from seeing the slime juice,0
130,"@
Mmjp. Gn",0
131,Or....deep fried Orio gravy,0
132,8:56 a reminder just in case you thought this was a family friendly show... you are mistaken my friends,0
133,"Rhett- this smells like pizza
Me- facepalms",0
134,"How about ""Will it smoke""?",1
135,Still waytin for the will it Tea episode,0
136,Can you tell us the recipe,0
137,"Rhett: ""Man, I wish you had smell-i-vision.""
Me: ""How thoughtful!""",0
138,"you should do a will it soda, where you carbonate usually uncarbonated drinks, and see if they should be sold carbonated.",1
139,Does anybody else really want the recipe for that pizza gravy?,0
140,WILL IT PERFUME NEXT PLEASE!,1
141,Theres already a chocolate gravy. Its an Arkansas dish.,0
142,I know this is late but if anyone wants to come for Christmas to my place its in in Ohio!!,0
143,"Im sorry I have literally no money to donate because Im a broke hoe, but if any I can donate my time to saint Judes please let me know because I will!!",0
144,I have a feeling most things gravy.,0
145,"I should not have smoked that bowl 1st. From 12:15 on I was broken, dying laughing.",0
146,Will it funnel cake,0
147,"Hagfish is the new ""Oooctopuss..."" Blaarghhhh~",0
148,I need that pizza gravy recipe,0
149,Is this ASMR,0
150,Will it turkey,0
151,Here in Korea eating hagfish (here commonly called penis fish) grilled is kinda commonplace. Grilled though. Not sure when they use the slime but yeah apparently it's pretty common too :/,0
152,I wanna see them revisit old will its now that they have chefs especially will it ice cream sandwich,1
153,Dani what's your @??? We're  from the same country!!,0
154,Will it bread?,0
155,you guys should do a will it hat,1
156,I smelt it from my smellovision and it is disgusting,0
157,We have found one more thing that Rhett can't swallow,0
158,"Link: ""Gravy my biscuit""
whispers ""yessss, yessss""",0
159,Fried Oreos..but the inside is Oreo Gravy.,0
160,6:53 Show off your natural hues Flamingo-o-o-o-o,0
161,I can die now. I seen Link wearing edible underwear,0
162,"Pause at 0:01, what is link trynna do?",0
163,You should do a Will it Klondike bar?,1
164,"I thought the Will It was ""Will It Gravity?"" and I got really confused..",0
165,Like if they should do a will it chili??,0
166,ANYTHING CAN BE G R A V Y,0
167,13:18 I'm dying here!,0
168,WILL IT CHIMICHANGA,0
169,I Got sick thinking of Link eating that alien goop omg im dead 0_0,0
170,I literally just threw up watching them eat that fish stuff,0
171,"The ""50 shades of gravy"" cracked me up!",0
172,oh god i was gagging on that last one man,0
173,5.4,0
174,The hag fish slime was the first time I've ever gagged watching your show.,0
175,again - show how Josh made all this please!,0
176,You guys should collaborate with Josh and create a cookbook called Good Mythical Recipes.,1
177,The dislikes are turkey's,0
