ID,Sentence
0,"Im not asking Microsoft to Gives permission like Android so any app can take my data, but dont keep it restricted like iPhone."
1,somewhere between Android and iPhone.
2,And in the Windows Store you can flag the App [Requires Trust] for example.
3,"Many thanks Sameh Hi, As we know, there is a lot of limitations is WP8 OS due the high security in the OS itself which is very good, but some time we need to allow some apps to do extra works, apps which we trust i.e: hotmail app, facebook app, skype app ...."
4,"The idea is that we can develop a regular app and we request our permissions in the manifest, OR the app can ASK FOR TRUST_?_ more"
5,Please add this simple and extremely helpful feature.
6,Why not let us have several pages that we can put tiles on and name whatever we want to .
7,The Idea is if user running our app and by any reason he rebooted the phone so in that case once reboot happen there should be some event so that we can detect that phone is rebooted and we can handle our application accordingly
8,Add support for the biometric framework from windows 7/8 to allow hardware manufactures to add fingerprint sensors for device login (login allows standard user & guest/kid mode) and for wallet (WP8) transaction activation.
9,"It would be more natural to allow the physical search key to activate the search function on the active application, rather than loading Bing which is rarely the goal."
10,Allow platform built-in camera and video apps to use increase and decrease volume hardware keys for picture optical and digital zoom of camera.
11,"On WP8 add optional support to hook these hardware keys press events for the lens (plug-in) features...hardware keys should include vol+, vol-, stage 1 (light press) camera shutter, stage 2 (deep press) camera shutter."
12,I believe there needs to be a marking system in the OS like the option of marking several emails in the pop mails.
13,"If I intend to delete several files(photos, songs) there should be an easier way to do it."
14,"You can put other apps in one folder, and put on startscreen like a tile."
15,"This is total uncomfortably, i think about give to user, a choose what he want to bind on search button."
16,It would be awesome.
17,Make it so that you have to enter a password for apps of your choice
18,"Big files cant be transfered using skydrive, it is not praticle!"
19,It would be an improvement if they displayed as graphic Smilies instead.
20,"The UserControl should run in the context of the application that created the Alarm or Reminder, and as such would have access to the appropriate view models."
21,Need an option to remove unused variables in cs file for re factoring.
22,Use the usb as removeable disk
23,Pls introduce pattern lockscreen like android.
24,Only after repairing the installation will the emulator work.
25,If I close the emulator and try to run it again.
26,It fails with a uninformative message indicating deployment failed.
27,"information on the screen locked, temperature, news of facebook and Twitter and lock with letters and numbers"
28,Search text
29,I wish apis for save photos in camera roll in png format; not only as lossy jpeg format.
30,"Having native access to OpenCL or C++ AMP support would be nice to have, especially with the newer hardware arriving with WP8."
31,Please help me Im Ahmed from Iraq I wanna get Arabic keyboard in my WP please !!!
32,"When an application has problems or when a problem is detected in advance by the developer, until the publication of the correction version the client is without knowing what is happening."
33,This way we can give a satisfaction to all who buy or evaluate our applications.
34,This communication channel can use the Bing Translator to generate the statement in the languages in which the application has been translated.
35,I believe it is a feature that will cherish Microsoft to customers and that demonstrates respect for the consumer.
36,"In some cases missing answer key after unlock, when phone is locked, also missing call alert network enable/disable (network code is *#43# for verify, *43# for enable and #43# for disable)."
37,What I am asking for is some key that will act like the Screenshot->Capture command without me having to change tabs in the Emulator window or release the Accelerometer.
38,Even something as simple as ctrl+S would be a godsend for me.
39,"If I am lucky I can do it before my character dies, even then though the player is just moving in a straight line to nowhere_?_ more"
40,"Please allow users to view comments in office docs i.e word, ppt, excel....also allow user to add comments on these docs"
41,Provide a single link to retrieve all the applications by a specific Publisher like the Android Market.
42,Please show the scrollbars in the WebBrowser control.
43,There are times when this is greatly needed!
44,"The other smartphone platforms like Android, iOS and Blackberry supports launching one App from another and passing data between them."
45,This is really important when a same organisation develops multiple apps and wants them to interact with each other.
46,"If this feature will be implemented without affecting the security model of WP, then it will be great for the WP developer world."
47,I keep getting birthday notifications a day too early.
48,the date in the peoplehub does not align with the calendar.
49,"With WP7 we have the unique ability to offer Trails for Paid Apps, which is great."
50,"However, it would be nice if developers could offer Free Apps with a possibility to users for voluntary donations."
51,"Some devs do the workaround and offer a Paid app, with the trial version having no restrictions at all (if the user clicks buy, he essentially donates to the dev)."
52,"However, this workaround has the disadvantage of the app not apprearing in the free category, though they are actually free."
53,"Therefore, it would be great if devs could put apps in the marketplace offering two buttons: install (free) and install and donate (e.g.0,99$)."
54,"The price could be splitted 30-70 just like with paid apps, just with the difference of the app appearing in the free category."
55,The current process is very lengthy and costly for non US developers.
56,Why cant Microsoft simplify it?
57,Make it similar if not the same as Google!?!?!
